,validated_time_rate,validated_time_rate_1,highest_version_mean_validated,highest_version_mean_validated_1,time_consulting_help,time_consulting_help_1,mean_test_per_subject,mean_test_per_subject_1,mean_size_modification_per_test,mean_size_modification_per_test_1,mean_modification_per_subject,mean_modification_per_subject_1,mean_time_active,mean_time_active_1,experimentation_quality,experimentation_quality_1,validation_quality,validation_quality_1,score,score_1
1662,0.11722222222222223,0.058611111111111114,2.0,2.0,10.0,10.0,4.4,4.4,282.3181818181818,282.3181818181818,37.6,37.6,3.227027,6.47027,0.0,0.0,0.2961538461538462,0.2961538461538462,40.0,40.0
1685,0.0,0.0,0.0,0.0,1091.0,2891.0,13.0,13.0,26.807692307692307,26.807692307692307,14.0,14.0,2.383488,4.780292,0.0,0.0,0.0,0.0,0.0,0.0
1700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1869,0.006666666666666667,0.0033333333333333335,2.0,2.0,0.0,0.0,1.0,1.0,273.0,273.0,3.0,3.0,18.989361,38.138297,0.0,0.0,0.5,0.5,20.0,20.0
1945,0.2916666666666667,0.14583333333333334,2.0,2.0,38.0,38.0,8.4,9.5,63.833333333333336,67.96491228070175,31.2,33.5,2.886138,4.403225,0.7,0.7,0.2772727272727273,0.2426470588235293,60.0,60.0
2159,0.27,0.7513888888888889,4.0,3.0,0.0,0.0,4.2,4.833333333333333,269.7142857142857,213.24137931034483,60.2,63.333333333333336,0.637433,0.996113,0.0,0.0,0.23055555555555557,0.21730769230769226,40.0,60.0
2160,0.29055555555555557,0.14527777777777778,3.0,3.0,0.0,0.0,4.2,4.8,337.6666666666667,297.4166666666667,59.2,68.4,0.435342,0.732558,0.0,0.0,0.23888888888888882,0.2285714285714285,30.0,30.0
2161,0.46944444444444444,0.7377777777777778,3.0,3.5,0.0,0.0,5.0,4.333333333333333,274.7,334.15384615384613,56.25,62.666666666666664,0.508266,0.804084,0.0,0.0,0.21750000000000003,0.2326923076923077,60.0,70.0
2164,0.2761111111111111,0.2436111111111111,2.3333333333333335,2.6666666666666665,0.0,0.0,7.125,9.5,245.33333333333334,211.76315789473685,36.25,46.25,0.354232,0.563913,0.0,0.0,0.1393617021276596,0.14,70.0,80.0
2166,0.7594444444444445,0.37972222222222224,2.0,2.0,29.0,29.0,6.0,8.0,183.04166666666666,188.09375,47.75,64.0,0.626396,0.969255,0.0,0.0,0.288888888888889,0.23653846153846148,60.0,60.0
2167,0.6183333333333333,0.31,2.5,2.5,0.0,0.0,7.5,8.166666666666666,103.17777777777778,127.34693877551021,59.333333333333336,72.33333333333333,0.429631,0.709632,0.0,0.0,0.17567567567567563,0.1897435897435897,50.0,50.0
2168,0.17277777777777778,0.08638888888888889,4.0,4.0,0.0,0.0,25.5,18.666666666666668,180.86274509803923,195.42857142857142,134.5,118.66666666666667,0.379566,0.616959,0.0,0.0,0.11836734693877543,0.12222222222222213,40.0,40.0
2173,0.5261111111111111,0.7286111111111111,3.5,4.0,0.0,0.0,4.571428571428571,6.0,374.75,348.5238095238095,40.857142857142854,53.285714285714285,0.436078,0.720768,0.0,0.0,0.16851851851851854,0.16351351351351348,70.0,80.0
2174,0.06111111111111111,0.5613888888888889,2.0,2.0,0.0,0.0,7.0,10.25,216.89285714285714,183.14634146341464,76.0,96.0,0.48576,0.784746,0.0,0.0,0.15,0.15365853658536577,20.0,40.0
2175,0.5311111111111111,0.26555555555555554,3.0,3.0,0.0,0.0,4.4,5.166666666666667,369.90909090909093,352.258064516129,54.0,54.833333333333336,0.655437,1.122225,0.0,0.0,0.2714285714285714,0.23965517241379303,60.0,60.0
2177,0.16555555555555557,0.08277777777777778,3.5,3.5,0.0,0.0,1.2,1.2,774.1666666666666,774.1666666666666,17.6,17.6,1.484672,2.480662,0.0,0.0,0.65,0.65,70.0,70.0
2178,0.5011111111111111,0.2608333333333333,2.0,2.0,0.0,0.0,3.25,3.75,219.92307692307693,247.53333333333333,45.75,51.5,0.774025,1.312843,0.0,0.0,0.29545454545454547,0.3458333333333334,40.0,40.0
2179,0.0,0.03361111111111111,0.0,2.0,0.0,0.0,7.0,7.8,127.71428571428571,101.7948717948718,68.75,69.8,0.461258,0.710254,0.0,0.0,0.17600000000000005,0.2046875,0.0,20.0
2183,0.3338888888888889,0.16694444444444445,3.0,3.0,0.0,0.0,7.2,9.4,148.47222222222223,157.59574468085106,50.8,71.6,0.4792,0.682025,0.0,0.0,0.24375000000000002,0.24687499999999998,30.0,30.0
2186,0.3844444444444444,0.6733333333333333,2.5,2.6666666666666665,0.0,0.0,3.6666666666666665,4.25,405.3181818181818,315.4117647058824,31.0,34.75,0.842823,1.117299,0.0,0.0,0.20227272727272733,0.19117647058823528,50.0,80.0
2188,0.5427777777777778,0.8866666666666667,3.0,2.5,0.0,0.0,5.5,4.666666666666667,215.0,298.92857142857144,48.0,41.0,1.333593,1.853748,0.0,0.0,0.5333333333333333,0.45,30.0,50.0
2192,0.6361111111111111,0.48694444444444446,2.3333333333333335,2.4,0.0,0.0,2.6666666666666665,2.6666666666666665,311.75,178.25,34.666666666666664,28.833333333333332,1.201342,1.430278,0.0,0.0,0.5700000000000001,0.5045454545454545,70.0,120.0
2201,0.35388888888888886,0.42388888888888887,3.5,3.0,0.0,0.0,2.75,3.2857142857142856,514.2727272727273,390.95652173913044,37.0,35.42857142857143,1.061647,1.23657,0.0,0.0,0.34,0.26666666666666666,70.0,90.0
2204,0.0,0.6588888888888889,0.0,3.5,0.0,0.0,32.0,12.4,134.03125,202.83870967741936,151.0,70.4,0.929942,0.863876,0.0,0.0,0.09687500000000004,0.13870967741935478,0.0,70.0
2211,0.2777777777777778,0.13916666666666666,2.0,2.0,0.0,0.0,7.0,6.666666666666667,137.14285714285714,110.95,81.0,75.0,1.406739,1.108883,0.0,0.0,0.2357142857142857,0.19473684210526318,20.0,20.0
2212,0.2788888888888889,0.26416666666666666,3.0,2.6666666666666665,0.0,0.0,4.0,4.125,296.25,268.06060606060606,50.0,45.375,1.54163,0.852132,0.0,0.0,0.26875,0.20312499999999986,30.0,80.0
2213,0.18555555555555556,0.8538888888888889,3.0,3.2,0.0,0.0,2.2,3.076923076923077,474.6363636363636,378.525,19.4,34.07692307692308,1.264643,0.643727,0.0,0.0,0.30000000000000004,0.30135135135135127,60.0,160.0
2215,0.0,0.6691666666666667,0.0,2.0,0.0,0.0,0.0,3.0,0.0,137.44444444444446,0.0,19.666666666666668,6.949612,1.890057,0.0,0.0,0.0,0.4357142857142858,0.0,60.0
2234,0.89,0.6827777777777778,4.0,3.0,0.0,10.0,1.75,4.0,586.0,190.44444444444446,21.25,30.0,2.243445,1.194223,0.0,1.0,0.31428571428571433,0.28333333333333327,40.0,90.0
2313,0.40166666666666667,0.7247222222222223,2.5,3.0,0.0,0.0,9.0,8.25,262.8888888888889,263.93939393939394,100.0,142.25,0.482983,0.537039,0.0,0.0,0.20000000000000004,0.2274193548387097,50.0,60.0
2318,0.9044444444444445,0.5458333333333333,4.0,3.5,0.0,0.0,1.25,1.4,1085.3,833.8571428571429,39.75,54.5,0.659816,0.633673,0.0,0.0,0.585,0.5346153846153846,120.0,140.0
2319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1789.0,3589.0,0.0,0.0,0.0,0.0,0.0,0.0
2336,0.2811111111111111,0.9930555555555556,2.0,3.0,14.0,14.0,2.0,4.5,803.25,533.0,142.5,275.5,0.469313,0.507835,0.0,0.0,0.3125,0.31666666666666665,20.0,30.0
2374,0.0,0.034722222222222224,0.0,2.5,0.0,0.0,0.0,2.5,0.0,114.9,0.0,9.25,0.0,1.204449,0.0,0.0,0.0,0.6,0.0,50.0
2521,0.2638888888888889,0.13194444444444445,2.0,2.0,0.0,0.0,4.666666666666667,4.666666666666667,122.5,122.5,23.666666666666668,23.666666666666668,1.452342,2.9063,0.0,0.0,0.775,0.775,60.0,60.0
2718,0.4761111111111111,0.29694444444444446,2.5,2.75,13.0,45.0,4.333333333333333,5.9,234.10256410256412,224.20338983050848,38.44444444444444,52.4,0.353184,0.426687,0.0,1.0,0.2859999999999999,0.26162790697674404,100.0,110.0
2720,0.3061111111111111,0.6,2.75,2.5,7.0,7.0,6.375,5.461538461538462,216.05882352941177,220.0,36.875,41.46153846153846,0.338653,0.373427,0.5238095238095238,0.5238095238095238,0.30000000000000004,0.35128205128205126,110.0,200.0
2722,0.42833333333333334,0.37694444444444447,2.6,2.6666666666666665,22.0,24.0,3.1,3.75,299.7741935483871,303.22222222222223,29.2,38.0,0.40836,0.431681,0.0,0.9166666666666666,0.32592592592592584,0.32972972972972964,130.0,160.0
2723,0.5322222222222223,0.3975,2.5,2.6666666666666665,0.0,0.0,3.5,3.6923076923076925,210.76190476190476,207.83333333333334,32.0,37.84615384615385,0.334948,0.563439,0.0,0.0,0.5274999999999999,0.46538461538461523,150.0,160.0
2724,0.17666666666666667,0.2013888888888889,4.0,3.0,21.0,21.0,16.0,7.5,74.59375,150.0222222222222,40.5,36.5,0.801505,0.642111,0.6071428571428571,0.6071428571428571,0.19999999999999998,0.31562499999999993,40.0,90.0
2778,0.016666666666666666,0.008333333333333333,2.0,2.0,0.0,0.0,1.0,4.0,273.0,258.25,3.0,30.0,19.626373,3.37983,0.0,0.0,0.5,0.22500000000000003,20.0,20.0
2868,0.07222222222222222,0.20527777777777778,3.0,2.5,0.0,0.0,8.0,16.0,244.3125,149.4375,106.25,175.0,0.554388,0.544133,0.0,0.0,0.15,0.14765624999999985,30.0,50.0
