validated_time_rate	validated_time_rate_1	highest_version_mean_validated	highest_version_mean_validated_1	time_consulting_help	time_consulting_help_1	mean_test_per_subject	mean_test_per_subject_1	mean_size_modification_per_test	mean_size_modification_per_test_1	mean_modification_per_subject	mean_modification_per_subject_1	mean_time_active	mean_time_active_1	experimentation_quality	experimentation_quality_1	validation_quality	validation_quality_1	score	score_1	SRL_Class_Low	SRL_Class_High	SRL_Class_predicted
Classe3	Classe2	Classe3	Classe3	Classe1	Classe1	Classe2	Classe2	Classe5	Classe3	Classe3	Classe3	Classe4	Classe4	Classe1	Classe1	Classe4	Classe3	Low	Low	0.560092	0.439908	Low
Classe4	Classe1	Classe3	Classe2	Classe1	Classe1	Classe3	Classe2	Classe3	Classe4	Classe3	Classe3	Classe5	Classe5	Classe3	Classe1	Classe5	Classe4	Low	Low	0.64483	0.35517	Low
Classe5	Classe3	Classe3	Classe3	Classe1	Classe1	Classe2	Classe1	Classe4	Classe2	Classe3	Classe2	Classe5	Classe4	Classe3	Classe5	Classe5	Classe5	High	High	0.0903798	0.90962	High
Classe3	Classe4	Classe4	Classe2	Classe1	Classe1	Classe2	Classe2	Classe5	Classe3	Classe3	Classe3	Classe5	Classe5	Classe3	Classe5	Classe4	Classe3	High	Low	0.723314	0.276686	Low
Classe1	Classe2	Classe1	Classe4	Classe1	Classe1	Classe6	Classe3	Classe2	Classe3	Classe5	Classe3	Classe4	Classe4	Classe1	Classe1	Classe2	Classe3	Low	Low	0.855355	0.144645	Low
Classe3	Classe1	Classe2	Classe1	Classe1	Classe1	Classe3	Classe3	Classe2	Classe2	Classe4	Classe4	Classe5	Classe4	Classe1	Classe5	Classe4	Classe3	Low	Low	0.237673	0.762327	High
Classe3	Classe3	Classe3	Classe3	Classe1	Classe1	Classe2	Classe2	Classe3	Classe3	Classe3	Classe3	Classe5	Classe3	Classe1	Classe5	Classe4	Classe3	Low	Low	0.432786	0.567214	High
Classe2	Classe5	Classe3	Classe3	Classe1	Classe1	Classe2	Classe2	Classe5	Classe4	Classe2	Classe3	Classe5	Classe3	Classe1	Classe5	Classe4	Classe4	High	High	0.317939	0.682061	High
Classe1	Classe4	Classe1	Classe2	Classe1	Classe1	Classe1	Classe2	Classe1	Classe2	Classe1	Classe2	Classe6	Classe5	Classe1	Classe5	Classe1	Classe5	Low	Low	0.940044	0.0599561	Low
Classe5	Classe2	Classe4	Classe3	Classe1	Classe2	Classe1	Classe2	Classe5	Classe2	Classe3	Classe3	Classe5	Classe4	Classe1	Classe5	Classe4	Classe4	Low	Low	0.0685928	0.931407	High
Classe4	Classe3	Classe3	Classe3	Classe1	Classe1	Classe4	Classe2	Classe3	Classe5	Classe4	Classe5	Classe3	Classe4	Classe3	Classe5	Classe4	Classe4	Low	Low	0.278247	0.721753	High
Classe5	Classe2	Classe4	Classe2	Classe1	Classe1	Classe1	Classe1	Classe5	Classe5	Classe3	Classe5	Classe4	Classe3	Classe1	Classe5	Classe5	Classe4	High	High	0.268422	0.731578	High
Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe1	Classe6	Classe1	Classe1	Classe1	Classe1	Classe1	Low	Low	0.945829	0.0541709	Low
Classe3	Classe1	Classe2	Classe3	Classe3	Classe1	Classe1	Classe2	Classe5	Classe5	Classe5	Classe5	Classe3	Classe3	Classe1	Classe1	Classe4	Classe4	Low	Low	0.750604	0.249396	Low
Classe1	Classe2	Classe1	Classe3	Classe1	Classe1	Classe1	Classe2	Classe1	Classe2	Classe1	Classe2	Classe1	Classe5	Classe1	Classe5	Classe1	Classe5	Low	Low	0.966669	0.0333307	Low
Classe3	Classe1	Classe2	Classe1	Classe1	Classe1	Classe2	Classe1	Classe2	Classe1	Classe3	Classe1	Classe5	Classe1	Classe3	Classe1	Classe5	Classe1	High	Low	0.850517	0.149483	Low
Classe4	Classe1	Classe3	Classe3	Classe3	Classe4	Classe2	Classe4	Classe3	Classe4	Classe3	Classe4	Classe3	Classe3	Classe3	Classe5	Classe4	Classe4	High	High	0.0401307	0.959869	High
Classe3	Classe5	Classe3	Classe3	Classe2	Classe1	Classe3	Classe2	Classe3	Classe3	Classe3	Classe3	Classe3	Classe3	Classe4	Classe5	Classe4	Classe5	High	High	0.360431	0.639569	High
Classe4	Classe3	Classe3	Classe3	Classe3	Classe2	Classe2	Classe2	Classe3	Classe2	Classe3	Classe4	Classe3	Classe3	Classe3	Classe5	Classe4	Classe4	High	High	0.0592566	0.940743	High
Classe4	Classe2	Classe3	Classe3	Classe1	Classe1	Classe2	Classe2	Classe3	Classe5	Classe3	Classe4	Classe3	Classe5	Classe3	Classe1	Classe4	Classe4	High	High	0.0697734	0.930227	High
Classe2	Classe3	Classe4	Classe3	Classe3	Classe1	Classe6	Classe2	Classe1	Classe4	Classe3	Classe3	Classe4	Classe3	Classe3	Classe5	Classe3	Classe5	Low	Low	0.904191	0.0958088	Low
Classe2	Classe1	Classe2	Classe1	Classe1	Classe1	Classe1	Classe3	Classe3	Classe3	Classe2	Classe4	Classe6	Classe3	Classe1	Classe1	Classe5	Classe3	Low	Low	0.820882	0.179118	Low
Classe2	Classe2	Classe3	Classe2	Classe1	Classe1	Classe3	Classe6	Classe3	Classe1	Classe5	Classe5	Classe3	Classe3	Classe1	Classe1	Classe3	Classe3	Low	Low	0.689985	0.310015	Low
Classe1	Classe2	Classe1	Classe4	Classe1	Classe1	Classe5	Classe2	Classe5	Classe5	Classe5	Classe2	Classe3	Classe5	Classe1	Classe4	Classe2	Classe5	Low	Low	0.940403	0.0595967	Low
